time,progress,x,y,z
0,0,0,0,1
0.2032928,0,0,0,1
0.4031906,0,0,0,1
0.6076355,0,0,0,1
0.8076363,0,0,0,1
0.9951859,0,-0.3074101,-0.190809,0.9322505
1.199451,0,-0.9703883,-0.1391731,-0.1974278
1.395191,0,-0.878026,-0.1822355,-0.4425614
1.599842,0,-0.7986896,-0.1132032,0.5909991
1.799191,0,-0.4433296,-0.1132032,0.8891816
2.007393,0,-0.5465656,-0.1391731,0.8257705
2.191502,0,-0.5917525,-0.1478094,0.7924527
2.407608,0,-0.6681694,-0.1478094,0.729179
2.607635,0,-0.7939601,-0.1564345,0.5874995
2.795628,0,-0.7939601,-0.1564345,0.5874995
3.007637,0,-0.7939601,-0.1564345,0.5874995
3.193012,0,-0.8085001,-0.1607426,0.5661179
3.407581,0,-0.9766872,-0.1650476,0.1372644
3.591549,0,-0.9814211,-0.1822356,0.0600262
3.793133,0,-0.9748231,-0.190809,-0.115378
4.007469,0,-0.9387348,-0.190809,-0.2870001
4.188736,0,-0.9374736,-0.190809,-0.2910933
4.403641,0,-0.8606188,-0.190809,-0.4721516
4.599705,0,-0.6500977,-0.2164396,-0.7283729
4.795971,0,-0.5909461,-0.2164396,-0.7771336
5.007637,0,-0.4621001,-0.2164396,-0.8600103
5.192913,0,-0.3853869,-0.2164396,-0.8970124
5.407635,0,-0.3853869,-0.2164396,-0.8970124
5.607635,0,-0.3853869,-0.2164396,-0.8970124
5.799236,0,-0.3853869,-0.2164396,-0.8970124
5.990967,0,-0.3853869,-0.2164396,-0.8970124
6.207634,0,-0.3736124,-0.2164396,-0.90198
6.407635,0,-0.3736124,-0.2164396,-0.90198
6.607498,0,-0.42149,-0.2036418,0.8836721
6.795456,0,0.9132975,-0.1993679,0.3551621
7.007637,0,0.8934582,-0.199368,0.4024735
7.207634,0,0.04258543,-0.2164396,0.9753668
7.395611,0,-0.5704006,-0.2164396,0.7923365
7.599934,0,-0.7745477,-0.2164396,-0.5943314
7.799507,0,-0.2342161,-0.25038,-0.9393896
7.991272,0,-0.2342161,-0.25038,-0.9393896
8.195694,0,0.08827965,-0.2630313,-0.96074
8.40303,0,0.1257791,-0.2672383,-0.9553864
8.593349,0,0.129788,-0.2714404,-0.9536642
8.799591,0,0.129788,-0.2714404,-0.9536642
9.00753,0,0.129788,-0.2714404,-0.9536642
9.198986,0,0.1337818,-0.2756374,-0.9519068
9.399536,0,0.1337818,-0.2756374,-0.9519068
9.595165,0,0.1337818,-0.2756374,-0.9519068
9.791714,0,0.1337818,-0.2756374,-0.9519068
9.999172,0,0.1337818,-0.2756374,-0.9519068
10.20379,0,-0.6423116,-0.2036417,-0.7388952
10.40329,0,-0.9778266,-0.1993679,0.06409025
10.59186,0,-0.9789921,-0.1993679,-0.04274369
10.80764,0,0.4364474,-0.2079117,-0.875378
11.00763,0,0.566938,-0.2164396,-0.7948179
11.20764,0,-0.3292558,-0.224951,0.9170538
11.40763,0,-0.4746183,-0.2376859,0.8474921
11.60763,0,-0.6158621,-0.2292004,0.7537778
11.79931,0,-0.654468,-0.2292004,0.7205129
12.00763,0,-0.6513178,-0.2292004,0.7233618
12.19527,0,-0.3572028,-0.1693495,0.9185461
12.40763,0,-0.2887721,-0.1564345,0.9445311
12.59118,0,-0.2887721,-0.1564345,0.9445311
12.79544,0,-0.2141997,-0.1434926,0.9661927
13.00763,0,-0.1889521,-0.1391731,0.972074
13.20312,0,-0.1889521,-0.1391731,0.972074
13.39134,0,-0.1889521,-0.1391731,0.972074
13.5961,0,-0.1847087,-0.1391731,0.9728893
13.80353,0,-0.1847087,-0.1391731,0.9728893
13.99131,0,-0.1847087,-0.1391731,0.9728893
14.19683,0,-0.1336974,-0.1305262,0.9823889
14.39564,0,-0.05191741,-0.126199,0.9906455
14.59141,0,-0.02164029,-0.126199,0.9917689
14.79131,0,0.08214622,-0.126199,0.9885979
15.0037,0,0.1122983,-0.126199,0.9856282
15.19113,0,0.4745448,-0.1045285,0.8740029
15.39901,0,0.8474318,-0.08280822,0.5244066
15.60345,0,0.8474318,-0.08280822,0.5244066
15.79189,0,0.8307127,-0.08715575,0.5498366
15.99519,0,0.6298882,-0.1391731,0.764115
16.19145,0,0.6298882,-0.1391731,0.764115
16.3953,0,0.6298882,-0.1391731,0.764115
16.59156,0,0.6298882,-0.1391731,0.764115
16.80724,0,0.3829477,-0.1391731,0.9132261
17.0076,0,0.3829477,-0.1391731,0.9132261
17.20728,0,0.3829477,-0.1391731,0.9132261
17.39949,0,0.3948684,-0.1391731,0.9081354
17.59196,0,0.9476619,-0.1434926,0.2852138
17.79984,0,0.9730796,-0.1434926,0.1803495
18.00763,0,0.9746165,-0.1434927,0.171851
18.20764,0,0.984672,-0.1434926,0.09915138
18.39257,0,0.984672,-0.1434926,0.09915138
18.59955,0,0.9850953,-0.1434926,0.09485371
18.80387,0,0.4415804,-0.1434927,-0.8856731
